threshold,accuracy,precision,recall,f1,defense_rate
0.0,0.19385185185185186,0.19385185185185186,1.0,0.3247502636967177,100.0
0.012387501075863838,0.24503703703703703,0.20430946990397378,1.0,0.33929729028912226,94.88148148148147
0.020324906334280968,0.29474074074074075,0.21560388861426924,1.0,0.3547272111148763,89.91111111111111
0.02946190908551216,0.34444444444444444,0.22822010988052674,1.0,0.3716273785856291,84.94074074074074
0.038300804793834686,0.39414814814814814,0.24240459429418304,1.0,0.3902184447923656,79.97037037037038
0.048400554805994034,0.44451851851851854,0.25869909054962437,1.0,0.4110578810963638,74.93333333333332
0.060035236179828644,0.4948888888888889,0.27734209410767274,1.0,0.43424873475483283,69.8962962962963
0.07454291731119156,0.5448148148148149,0.2986761013467245,1.0,0.45997012039722296,64.90370370370371
0.09062296152114868,0.5949629629629629,0.32368583797155226,1.0,0.4890674640254158,59.88888888888889
0.1,0.6203703703703703,0.3380263497804185,1.0,0.5052611255912732,57.34814814814815
0.11145324259996414,0.6450370370370371,0.3532190579025509,1.0,0.5220426890085776,54.88148148148149
0.13826943933963776,0.6951111111111111,0.38868260804990346,1.0,0.5597860962566845,49.87407407407407
0.17055849730968475,0.7451111111111111,0.4319907560250908,1.0,0.603342939481268,44.87407407407407
0.2,0.7837037037037037,0.4726386129673108,1.0,0.6418935491783174,41.01481481481481
0.20896700024604797,0.7948148148148149,0.4857991460924448,1.0,0.6539230384807596,39.903703703703705
0.2546759843826294,0.8445185185185186,0.554919423240034,1.0,0.7137597163507432,34.93333333333333
0.3,0.8878518518518519,0.6335027838295813,1.0,0.7756372258446947,30.599999999999998
0.3084551990032196,0.8942222222222223,0.6469715698393078,1.0,0.7856499549684779,29.962962962962962
0.3850535750389099,0.9444444444444444,0.7772497772497773,1.0,0.8746657754010695,24.94074074074074
0.4,0.9518518518518518,0.8010407101316193,1.0,0.889530931339225,24.2
0.48845115303993225,0.9941481481481481,0.9706973293768546,1.0,0.9851308112177677,19.97037037037037
0.5,1.0,1.0,1.0,1.0,19.385185185185186
0.6,0.9647407407407408,1.0,0.8181123423767673,0.899957965531736,15.85925925925926
0.6260179281234741,0.9561481481481482,1.0,0.7737867787542988,0.8724687634640241,15.0
0.7,0.9353333333333333,1.0,0.6664119220481467,0.7998165558358173,12.918518518518518
0.7890950441360474,0.9064444444444445,1.0,0.5173863202139855,0.681944094686477,10.02962962962963
0.8,0.9022962962962963,1.0,0.49598777225831103,0.6630906768837803,9.614814814814816
0.9,0.8662962962962963,1.0,0.31027894535727935,0.47360746573345,6.014814814814814
0.9250952005386353,0.8567407407407407,1.0,0.26098586167367216,0.41393939393939394,5.059259259259259
0.9988798499107361,0.806962962962963,1.0,0.004203286205578907,0.00837138508371385,0.08148148148148147
0.9990496039390564,0.8062222222222222,1.0,0.00038211692777990065,0.0007639419404125285,0.007407407407407408
